date,division,index,monthly_change_pct,yoy_inflation_pct,year,month_number,month_name
2019-12-01,overall,122.9,0.16299918500408683,0.8203445447087843,2019,12,December
2020-01-01,overall,123.1,0.16273393002439462,1.233552631578938,2020,1,January
2020-02-01,overall,123.1,0,1.0673234811165777,2020,2,February
2020-03-01,overall,121.9,-0.9748172217709072,0,2020,3,March
2020-04-01,overall,118.8,-2.5430680885972223,-2.463054187192115,2020,4,April
2020-05-01,overall,119.1,0.2525252525252597,-2.3770491803278726,2020,5,May
2020-06-01,overall,120.2,0.9235936188077387,-1.5561015561015523,2020,6,June
2020-07-01,overall,120.8,0.4991680532445919,-1.1456628477905073,2020,7,July
2020-08-01,overall,120.9,0.08278145695364003,-1.3061224489795853,2020,8,August
2020-09-01,overall,120.8,-0.08271298593880427,-1.3877551020408219,2020,9,September
2020-10-01,overall,120.9,0.08278145695364003,-1.3061224489795853,2020,10,October
2020-11-01,overall,120.7,-0.16542597187758634,-1.6299918500407462,2020,11,November
2020-12-01,overall,121.4,0.5799502899751507,-1.2205044751830707,2020,12,December
2021-01-01,overall,122.7,1.0708401976935678,-0.32493907392363575,2021,1,January
2021-02-01,overall,123.1,0.32599837000815146,0,2021,2,February
2021-03-01,overall,123.5,0.32493907392363575,1.312551271534046,2021,3,March
2021-04-01,overall,123.6,0.08097165991902688,4.040404040404044,2021,4,April
2021-05-01,overall,123.6,0,3.7783375314861534,2021,5,May
2021-06-01,overall,123.7,0.08090614886731018,2.911813643926786,2021,6,June
2021-07-01,overall,123,-0.5658852061439013,1.821192052980125,2021,7,July
2021-08-01,overall,123.1,0.08130081300812275,1.8196856906534276,2021,8,August
2021-09-01,overall,123.4,0.2437043054427379,2.1523178807947074,2021,9,September
2021-10-01,overall,124.3,0.7293354943273878,2.8122415219189234,2021,10,October
2021-11-01,overall,124.7,0.32180209171359664,3.31400165700082,2021,11,November
2021-12-01,overall,125.3,0.4811547714514752,3.2125205930807255,2021,12,December
2022-01-01,overall,125.8,0.3990422984836428,2.526487367563157,2022,1,January
2022-02-01,overall,126,0.15898251192369983,2.3558082859463925,2022,2,February
2022-03-01,overall,126.2,0.15873015873015817,2.1862348178137703,2022,3,March
2022-04-01,overall,126.4,0.15847860538826808,2.265372168284796,2022,4,April
2022-05-01,overall,127.2,0.6329113924050667,2.9126213592232997,2022,5,May
2022-06-01,overall,127.9,0.5503144654088077,3.3953112368633853,2022,6,June
2022-07-01,overall,128.3,0.31274433150898506,4.3089430894309055,2022,7,July
2022-08-01,overall,128.6,0.23382696804363778,4.467912266450047,2022,8,August
2022-09-01,overall,128.8,0.15552099533437946,4.376012965964349,2022,9,September
2022-10-01,overall,129.1,0.23291925465838137,3.8616251005631597,2022,10,October
2022-11-01,overall,129.6,0.3872966692486379,3.9294306335204476,2022,11,November
2022-12-01,overall,129.8,0.15432098765433278,3.591380686352763,2022,12,December
2023-01-01,overall,130.2,0.30816640986131016,3.49761526232113,2023,1,January
2023-02-01,overall,130.7,0.38402457757296116,3.730158730158717,2023,2,February
2023-03-01,overall,130.8,0.07651109410866663,3.645007923930277,2023,3,March
2023-04-01,overall,130.7,-0.0764525993883991,3.4018987341772,2023,4,April
2023-05-01,overall,131.2,0.38255547054322214,3.1446540880503138,2023,5,May
2023-06-01,overall,131.3,0.07621951219514145,2.6583268178264285,2023,6,June
2023-07-01,overall,131.4,0.07616146230007281,2.4162120031176793,2023,7,July
2023-08-01,overall,131.6,0.15220700152205335,2.3328149300155587,2023,8,August
2023-09-01,overall,131.7,0.07598784194529085,2.251552795031042,2023,9,September
2023-10-01,overall,131.7,0,2.0139426800929394,2023,10,October
2023-11-01,overall,131.8,0.07593014426729994,1.6975308641975495,2023,11,November
2023-12-01,overall,132,0.15174506828528056,1.6949152542372836,2023,12,December
2024-01-01,overall,132.3,0.22727272727274261,1.6129032258064724,2024,1,January
2024-02-01,overall,132.9,0.45351473922901064,1.6832440703902218,2024,2,February
2024-03-01,overall,133,0.07524454477050302,1.6819571865443361,2024,3,March
2024-04-01,overall,133.1,0.07518796992480592,1.8362662586075107,2024,4,April
2024-05-01,overall,133.5,0.3005259203606281,1.7530487804878092,2024,5,May
2024-06-01,overall,133.7,0.1498127340823885,1.8278750952018141,2024,6,June
2024-07-01,overall,133.7,0,1.7503805175038023,2024,7,July
2024-08-01,overall,133.8,0.07479431563202077,1.6717325227963764,2024,8,August
2024-09-01,overall,133.8,0,1.5945330296127658,2024,9,September
2024-10-01,overall,133.9,0.07473841554559435,1.6704631738800435,2024,10,October
2024-11-01,overall,133.9,0,1.5933232169954348,2024,11,November
2024-12-01,overall,134.1,0.14936519790886837,1.5909090909090873,2024,12,December
